personLabel	aliasLabel
Alexander von Humboldt	Friedrich Heinrich Alexander von Humboldt
Alexander von Humboldt	Friedrich Wilhelm Heinrich Alexander von Humboldt
Alexander von Humboldt	Humb.
Sima Lun	Ziyi
Napoleon	Emperador de Francia Napoleón I
Napoleon	emperador dels francesos Napoleó I
Napoleon	Empereur des Français Napoléon I
Napoleon	Little Corporal
Napoleon	Napoleon Buonaparte
Napoleon	Napoleone Bonaparte
Napoleon	Napoleone di Buonaparte
Napoleon	Napoleone I
Napoleon	Napulione Buonaparte
Napoleon	Napulione di Buonaparte
Napoleon	the Corsican Napolean
Fidel Castro	Castro
Adolf Hitler	Führer
Andrew Cuomo	Andrew Mark Cuomo
Mari Alkatiri	Mari bin Amude Alkatiri
Salvador Allende	Salvador Guillermo Allende Gossens
Harry S Truman	Harry S. Truman
Sima Lun	Prince of Zhao
Harry S Truman	Truman
Christian Wulff	Christian Wilhelm Walter Wulff
Harry S Truman	H. S. Truman
Harry S Truman	H. Truman
Harry S Truman	Harry Truman
Harry S Truman	President Truman
Jacob Grimm	Giacomo Grimm
Jacob Grimm	Jacob Ludwig Carl Grimm
Jacob Grimm	Jacob Ludwig Grimm
Jacob Grimm	Jacob Ludwig Karl Grimm
Jacob Grimm	Jacob, Freiherr von Grimm
Jacob Grimm	Jakob Ludwig Karl Grimm
Sandra Day O'Connor	Sandra Day
Sandra Day O'Connor	Sandra Day O’Connor
Victor Hugo	Victor Marie Hugo
Victor Hugo	Victor Marie, Comte Hugo
Victor Hugo	Victor-Marie Hugo
Eliot Spitzer	The Sheriff of Wall Street
Jon Huntsman, Jr.	Jon Huntsman
Jon Huntsman, Jr.	Jon M. Huntsman Jr.
Jon Huntsman, Jr.	Jon Meade Huntsman, Jr.
José Ramos-Horta	José Manuel Ramos Horta
José Ramos-Horta	Jose Ramos-Horta
Adolf Hitler	Bohemian Corporal
Helmut Kohl	Helmut Josef Michael Kohl
Helmut Kohl	Kohl
Prince of Hongnong	Hongnongwang
Prince of Hongnong	Liu Ban(2)
Prince of Hongnong	Liu Bian
Prince of Hongnong	Shao Di
David Paterson	David Alexander Paterson
Fulgencio Batista	Fulgencio Batista y Zaldivar
Stephen Breyer	Stephen Gerald Breyer
Xanana Gusmão	José Alexandre Gusmão
Xanana Gusmão	Kay Rala Xanana Gusmão
John Adair	
Nelson Rockefeller	Nelson A. Rockefeller
Nelson Rockefeller	Nelson Aldrich Rockefeller
Sima Lun	Prince of Langye Commandery
Fidel Castro	Fidel Alejandro Castro Ruz
Horst Köhler	
Roman Herzog	
Cathy Hudgins	
Napoleon	Napoleon Bonaparte
Napoleon	Napoleon I
Clarence Thomas	
Rosa Luxemburg	Róża Luksemburg
Rosa Luxemburg	Rozalia Luxenburg
Olha Saladukha	Olha Saladuha
Karl Carstens	
Liu Penzi	
Napoleon	Napoleon I of France
Kurt Georg Kiesinger	
Jean-Marie Le Pen	
Jürgen Trittin	
Leopold Figl	
Sandra Perković	
Salvador Allende	Allende
Napoleon	Napoleone Buonaparte
Salvador Allende	Chicho
(.)p(...)nin	
Carroll A. Campbell, Jr.	
Adolf Hitler	Der Führer
Napoleon	Napoléon Bonaparte
Jacques Chaban-Delmas	Chaban
Anthony Kennedy	Anthony M. Kennedy
Anthony Kennedy	Anthony McLeod Kennedy
Anthony Kennedy	Justice Anthony Kennedy
Adolf Hitler	Hitler
Jacques Chaban-Delmas	Jacques Delmas
Jorge Alessandri	
Giuseppe Verdi	Giuseppe Fortunino Francesco Verdi
Emperor Jianwen of Jin	Jianwen Di
Emperor Jianwen of Jin	Sima Yu
Giacomo Puccini	Puccini
Yuri Gagarin	Yuri Alekseyevich Gagarin
Yuri Gagarin	Yuri Alexeyevich Gagarin
Yuri Gagarin	Yury Alekseyevich Gagarin
Yuri Gagarin	Yury Gagarin
Margaret Thatcher	Margaret Roberts
Emperor Jianwen of Jin	Daowan
Pedro I of Brazil	Pedro IV of Portugal
Pedro I of Brazil	Pedro IV of Portugal and I of Brazil
Pedro I of Brazil	Peter I of Brazil
Pedro I of Brazil	Peter IV of Portugal
Margaret Thatcher	Baroness Margaret Thatcher
Margaret Thatcher	Baroness Thatcher
Margaret Thatcher	Baroness Thatcher of Kesteven
Margaret Thatcher	Lady Thatcher
Margaret Thatcher	Maggie Thatcher
Margaret Thatcher	Margaret Hilda Roberts
Margaret Thatcher	Margaret Hilda Thatcher
Margaret Thatcher	Mrs. T
Margaret Thatcher	Mrs. Thatcher
Irène Joliot-Curie	Irene Joliot-Curie
Gabriel Gonzáles Videla	Gabriel Gonzales Videla
Gabriel Gonzáles Videla	Gabriel Gonzalez Videla
Gabriel Gonzáles Videla	Gabriel González Videla
Richard von Weizsäcker	Richard Karl Freiherr von Weizsäcker
Emperor Cheng of Jin	Cheng Di
Emperor Cheng of Jin	Shigen
Emperor Cheng of Jin	Sima Yan
Emperor Cheng of Jin	Xian Zong
Emperor Cheng of Jin	Xianzong
Emperor Wen of Sui	Wen Di
Emperor Wen of Sui	Gao Zu
Angela Merkel	Angela Dorothea Kasner
Angela Merkel	Angela Dorothea Merkel
Angela Merkel	Angela Kasner
Emperor Wen of Sui	Yang Jian
Qin Shi Huangdi	Zhao Zheng
Qin Shi Huangdi	Ying Zheng
Qin Shi Huangdi	Ying Cheng
Carlos Ibáñez del Campo	Carlos Ibàñez del Campo
Irène Joliot-Curie	Irène Curie
Nina Andreyeva	Nina Alexandrovna Andreyeva
Giuseppe Garibaldi	Garibaldi
Friedrich Theodor Vischer	
Walter Scheel	
Qin Shi Huangdi	Chao Cheng
Qin Shi Huangdi	Qin Shi Huang
Pedro Aguirre Cerda	Pedro Abelino Aguirre Cerda
Jean-Marc Ayrault	Jean Marc Ayrault
Giuseppe Garibaldi	Giuseppe Maria Garibaldi
