personLabel	aliasLabel
Barbara von Krüdener	Madame de Krüdener
Prätorius von Richthofen	Praetorius Walter Albrecht von Richthofen
Prätorius von Richthofen	Prätorius Freiherr von Richthofen
Prätorius von Richthofen	Prätorius Peter von Richthofen
Prätorius von Richthofen	Prätorius Peter Walter Albrecht Freiherr von Richthofen-Boguslawitz
Hafizullah Amin	Amin
Friedrich Krebs	Fritz Krebs
Louis Farrakhan	Louis X
Max Cahner	Max Cahner i Garcia
Ulrich Wilhelm Graf Schwerin von Schwanenfeld	Ulrich-Wilhelm Graf von Schwerin von Schwanenfeld
Walburga Habsburg Douglas	Archduchess Walburga Maria Franziska Helene Elisabeth of Austria
Walburga Habsburg Douglas	Archduchess Walburga of Austria
Walburga Habsburg Douglas	Countess Walburga Douglas
Walburga Habsburg Douglas	The Archduchess Walburga of Austria
Walburga Habsburg Douglas	Walburga von Habsburg
Walburga Habsburg Douglas	Walburga von Habsburg av Douglas
Charles Taylor	Charles McArthur Ghankay Taylor
Bärbel Bohley	Brosius
René Fonck	Rene Fonck
Louis Farrakhan	Louis Eugene Wolcott
Louis Farrakhan	Louis Farrakhan Muhammad, Sr.
Ivan Bagramyan	Hovhannes Baghramyan
Ivan Bagramyan	Hovhannes Khachaturi Baghramyan
Ivan Bagramyan	Ivan Khristoforovich Bagramyan
Matvei Zakharov	Matvei Vasilevich Zakharov
Matvei Zakharov	Matvey Vasilyevich Zakharov
Mohammad-Javad Larijani	Mohammad-Javad Ardeshir Larijani
Johann Heinrich Gottlob Justi	Johann H. G. Justi
Johann Heinrich Gottlob Justi	Johann H. G. von Justi
Johann Heinrich Gottlob Justi	Johann Heinrich Gottlob von Justi
Franz Gustav Duncker	Franz Duncker
Hermann Wendel	Leo Parth
Julia King	J E King
Julia King	J.E. King
Julia King	Julia E King
Franz Schwede	Franz Reinhold Schwede
Jo Leinen	Joseph Leinen
Ronald Arculli	Ronald Joseph Arculli
Dan Quayle	J. Danforth Quayle
Dan Quayle	"James Danforth ""Dan"" Quayle"
Dan Quayle	James Danforth Quayle
Theodor Bergk	Th. Bergk
Theodor Bergk	Theodor Bergkius
Theodor Bergk	Theodorus Bergk
Theodor Bergk	Theodorus Bergkius
Theodor Bergk	Wilhelm Theodor Bergk
Theodor Bergk	Wilhelm Theodor von Bergk
Julia King	J. E. King
Anton Hubert Fischer	Anton Hubert Cardinal Fischer
Julia King	Baroness Brown of Cambridge
Julia King	Dame Julia King
Julia King	Julia E. King
Julia King	Julia Elizabeth King
Julia King	Julia Elizabeth King, Baroness Brown of Cambridge
Julia King	Julia King, Baroness Brown of Cambridge
Nikolay Semyonov	Nikolai Nikolaevich Semenov
Nikolay Semyonov	Nikolay Nikolaevich Semenov
Nikolay Semyonov	Nikolay Nikolayevich Semyonov
Carl Theodor Welcker	Carl Theodor Georg Philipp Welcker
Kurt Biedenkopf	Kurt Hans Biedenkopf
Josef Bürckel	Josef Buerckel
Paul Singer	Paul Israel Singer
Duke Anthony Ulrich of Brunswick	Anthony Ulrich
Chris Christie	Christopher Christie
Chris Christie	Christopher J. Christie
Chris Christie	"Christopher James ""Chris"" Christie"
Chris Christie	Christopher James Christie
Chris Christie	Gov. Chris Christie
Maria Michalk	Maria Ludwiga Michalk
Adam Storck	Philip Adam Storck
Ernst von Pfuel	Ernst Heinrich Adolf von Pfuel
Dagmar Belakowitsch	Dagmar Belakowitsch-Jenewein
Dagmar Belakowitsch	Dr. Dagmar Belakowitsch
Dagmar Belakowitsch	Dr. Dagmar Belakowitsch-Jenewein
Gabriele Heinisch-Hosek	Gabriele Hosek
Karl Hermann Bitter	Carl Hermann Bitter
Hermann Loew	Friedrich Hermann Loew
Hermann Loew	Friedrich Hermann Löw
Hermann Loew	H. Loew
Duke Christoph in Bayern	Christoph Herzog in Bayern
Duke Christoph in Bayern	Christoph Joseph in Bayern
Óscar Arias Sánchez	Oscar Arias Sanchez
August Wilhelm Graf von Kanitz	Graf August Karl Wilhelm von Kanitz
Hermann Loew	H. Löw
Walter Mondale	Walter Frederick Mondale
Christian Hoffmann von Hoffmannswaldau	Christian Hofmann von Hofmannswaldau
Eugen von Trauschenfels	Eugen Trausch von Trauschenfels
Eugen von Trauschenfels	Johann Karl Eugen Trausch von Trauschenfels
John J. Wood	John Jacob Wood
Carl von Heyden	Heyden
Gabriele Pauli	Gabriele Maud Pauli
Gabriele Pauli	Gabriele Pauli-Balleis
Gabriele Pauli	Gaby Pauli
Thomas Bareiß	Thomas Bareiss
Irene Muloni	Irene Margaret Nafuna Muloni
Irene Muloni	Irene Nafuna Muloni
Hermann Loew	Loew
Hermann Loew	Löw
Pierre Clostermann	Pierre Henri Clostermann
Wilhelm Fürst von Radziwill	Friedrich Wilhelm von Radziwiłł
Carl von Heyden	C. von Heyden
Carl von Heyden	Carl Heinrich Georg von Heyden
Carl von Heyden	Carl Heinrich Georg(es) von Heyden
Carl von Heyden	Heyden, C.H.G. von
Carl von Heyden	Heyedn, Karl Heinrich von
Carl von Heyden	Karl Heinrich Georg von Heyden
Karl Heinrich von Hoym	Karl Heinrich Graf von Hoym
Gabi Zimmer	Gabriele Zimmer
Emperor Wu of Liu Song	Qinu
Franck Riester	HE Franck Riester
Friedrich August Freiherr von der Heydte	Friedrich August von der Heydte
Friedrich August Freiherr von der Heydte	Friedrich August, Freiherr von der Heydte
John J. Roane	John Jones Roane
Hugo Eberlein	Max Albert Hugo Eberlein
Wilhelm von Humboldt	Friedrich Wilhelm Christian Karl Ferdinand Freiherr von Humboldt
Wilhelm von Humboldt	Friedrich Wilhelm Christian Karl Ferdinand von Humboldt
Wilhelm von Humboldt	Karl Wilhelm von Humboldt
Frederick Ponsonby, 4th Baron Ponsonby of Shulbrede	Frederick Matthew Thomas Ponsonby, 4th Baron Ponsonby of Shulbrede
Gertrude of Brunswick	Gertrud von Meissen
Gertrude of Brunswick	Gertrude von Braunschweig
Jakob Kaiser	Jacob Kaiser
François-René de Chateaubriand	F. A. von Chateaubriand
François-René de Chateaubriand	François-Auguste-René, vicomte de Chateaubriand
François-René de Chateaubriand	François-René, vicomte de Chateaubriand
François-René de Chateaubriand	François-René, Vicomte de Chateaubriand
François-René de Chateaubriand	vicomte de Chateaubriand François-René
James Bryant Conant	James B. Conant
Bernd Heynemann	Bernd Reinhold Gerhard Heynemann
Bilkay Öney	Bikay Kadem
Karl Strölin	Karl Stroelin
Walther Stennes	Walter Franz Maria Stennes
Walther Stennes	Walther Franz Maria Stennes
Susan Miller, Baroness Miller of Chilthorne Domer	Susan Miller
Emperor Wu of Liu Song	Wu Di
Emperor Wu of Liu Song	Liu Wu
Emperor Wu of Liu Song	Deyu
Emperor Wu of Liu Song	Liu Yu
Augustus A. Chapman	Augustus Alexandria Chapman
Emperor Wu of Liu Song	Dexing
Annette Abbott Adams	Annette Adams
Emperor Wen of Liu Song	Liu Yilong
Susan Miller, Baroness Miller of Chilthorne Domer	Susan Elizabeth Taylor, Baroness Miller of Chilthorne Domer
Frederick Ponsonby, 4th Baron Ponsonby of Shulbrede	Frederick Ponsonby
Emperor Wen of Liu Song	Che'er
Emperor Wen of Liu Song	Song Wen-di
Emperor Wen of Liu Song	Wen of Liu Song
Yury Vlasov	Yury Petrovich Vlasov
John Maxton	John Alston Maxton, Baron Maxton
Paul Carell	Paul Karell
Paul Carell	Paul Karl Schmidt
Anton von Störck	Störck
Ernst Maria Lieber	Philipp Ernst Maria Lieber
Gertrude of Brunswick	Gertrud von Braunschweig
Edward Lucas	Edwards Lucas
Ernst Casimir II, 2nd Prince of Ysenburg and Büdingen	Ernst Casimir
Haile Melekot	Haile Malakot
Rowan Williams	Rowan Douglas Williams
Rowan Williams	Rowan Williams, Baron Williams of Oystermouth
Carl Zittel	Karl Zittel
Katharina Focke	Elsbeth Charlotte Katharina Focke
Katharina Focke	Katharina Friedlaender
David Alward	David Nathan Alward
Erwin Bumke	Erwin Konrad Eduard Bumke
Ilona Staller	Cicciolina
Ilona Staller	Elena Anna Staller
Ilona Staller	La Cicciolina
Karl Bechert	Karl Richard Bechert
Takeshi Shina	Shina Takeshi
José Lello	Jose Lello
Elly Heuss-Knapp	Elisabeth Eleonore Anna Justine Heuss-Knapp
Gerd Bucerius	Karl Anton Martin Gerhard Bucerius
Wilhelm Launhardt	Carl Wilhelm Friedrich Launhardt
Baltzar von Platen	Balzer Bogislaw von Platen
Baltzar von Platen	Count Baltzar von Platen
Mathilde Franziska Anneke	Mathilde Anneke
Mathilde Franziska Anneke	Mathilde Franziska Giesler
Mathilde Franziska Anneke	Mathilde Franziska Giesler Anneke
Mathilde Franziska Anneke	Mathilde Franziska von Tabouillet
Mathilde Franziska Anneke	Mathilde Giesler
Mathilde Franziska Anneke	Mathilde von Tabouillet
Henry A. Edmundson	Henry Alonzo Edmundson
Ernst Hasse	Traugott Ernst Friedrich Hasse
Harold C. Ostertag	Harold Charles Ostertag
Adolf Arndt	Karl Otto Adolf Arndt
Carl Philipp von Wrede	Carl Philipp Joseph, 1.Fürst von Wrede
Carl Philipp von Wrede	Philip Wrede
Yōsuke Kondō	Yosuke Kondo
Friedrich Raschig	Friedrich August Raschig
Wilhelm Koppe	Wilhelm Lohmann
Wilhelm Koppe	Karl Heinrich Wilhelm Koppe
Yōsuke Kondō	Yousuke Kondou
Hannelore Rönsch	Hannelore Heinz
Eduard von Simson	Martin Eduard von Simson
Eduard von Simson	Martin Sigismund Eduard von Simson
Nikolaus, Hereditary Grand Duke of Oldenburg	Nicolau d'Oldenburg
Georg Ludwig von Maurer	Georg Ludwig Maurer
Gesine Meißner	Gesine Meissner
Heinrich Albert	Heinrich Friedrich Albert
Ted Stevens	Theodore F. Stevens
Ted Stevens	"Theodore Fulton ""Ted"" Stevens"
Ted Stevens	Theodore Fulton Stevens
Ted Stevens	Theodore Stevens
Trent Lott	Chester Trent Lott, Sr.
Ramón de Campoamor	Ramon de Campoamor y Campoosorio
Louis Kugelmann	Ludwig Kugelmann
Jiří Gruša	Jiri Grusa
Gustav von Rauch	Johann Justus Georg Gustav von Rauch
John Dramani Mahama	John Mahama
John Dramani Mahama	President Mahama
Prince Arnulf of Bavaria	Arnulf Prince of Bavaria
Prince Arnulf of Bavaria	Arnulf Prinz von Bayern
Prince Arnulf of Bavaria	of Bavaria Arnulf
Josef Albert Meisinger	Butcher of Warsaw
Christoph Blumhardt	Кристоф Фридрих Блюмхардт
Eugen Hönig	Eugen Honig
Rudolf Gnägi	Rudolf Gnaegi
Georg von Kameke	Arnold Karl Georg von Kameke
John Stuart Mill	J. S. Mill
Regina Ip	Liu Shuyi
Nobuhide Minorikawa	Minorikawa Nobuhide
Willi Ritschard	Willy Ritschard
Hermann von Boyen	Leopold Hermann Ludwig von Boyen
Regina Ip	Ip Lau Suk-yee
Regina Ip	Lau Suk-yee
Regina Ip	Regina Ip Lau Suk-yee
Regina Ip	Ye Liu Shuyi
Friedrich Wilhelm, Count Brandenburg	Friedrich Wilhelm Graf von Brandenburg
Heinz Kessler	Heinz Keßler
Horace Bénédict de Saussure	Horace B. de Saussure
Horace Bénédict de Saussure	Horace Benedict de Saussure
Horace Bénédict de Saussure	Horace-Benedict de Saussure
Horace Bénédict de Saussure	Sauss.
Prince Arnulf of Bavaria	Arnulf of Bavaria
Kenya Akiba	AKIBA Kenya
Arthur Hobrecht	Arthur Heinrich Ludolf Johnson Hobrecht
Arthur Hobrecht	Arthur Heinrich Rudolph Johnson Hobrecht
Duke Pius August in Bavaria	Pius August in Bayern
John Kufuor	Gentle Giant
John Kufuor	John Agyekum Kufuor
John Kufuor	John Kofi Agyekum Kufuor
Karl Gerland	K. Gerland
Thomas Oppermann	Thomas Ludwig Albert Oppermann
Peter V. Deuster	Peter Victor Deuster
Jerry Rawlings	J J Rawlings
Jerry Rawlings	Jerry John Rawlings
Jerry Rawlings	Papa J
Susan Rice	Susan Elizabeth Rice
Maximilian Maria, 7th Prince of Thurn and Taxis	Maximilian Maria von Thurn und Taxis
Alfred Escher	Johann Heinrich Alfred Escher vom Glas
René Felber	Rene Felber
Aleksandr Baryshnikov	Aleksandr Aleksandrovich Baryshnikov
Aleksandr Baryshnikov	Alexander Baryshnikov
Prince Albert of Prussia	Albert of Prussia
Mary Kathryn Heitkamp	Heidi Heitkamp
Mary Kathryn Heitkamp	"Mary Kathryn ""Heidi"" Heitkamp"
Debbie Wasserman Schultz	"Deborah ""Debbie"" Wasserman Schultz"
Debbie Wasserman Schultz	Deborah Wasserman
Debbie Wasserman Schultz	Deborah Wasserman Schultz
Edward Akufo-Addo	E.A. Akufo-Addo
Hilda Solis	Hilda L. Solis
Hilda Solis	Hilda Lucia Solis
Annemarie Podlipny-Hehn	Annemarie Hehn
Annemarie Podlipny-Hehn	Annemarie Podlipny Hehn
Prince Albert of Prussia	Prince Friedrich Heinrich Albrecht of Prussia
Günter Baumann	Gunter Baumann
Günter Baumann	Helmut Günter Baumann
John Evans Atta Mills	John Evans Fiifi Atta Mills
Albert Grégoire	Albert Gregoire
Kofi Abrefa Busia	Kofi Busia
Prince Adalbert of Prussia	Prince Adalbert Ferdinand Berengar Viktor of Prussia
Prince Albert of Prussia	Albrecht of Prussia
Prince Albert of Prussia	Albrecht Prinz von Preußen
Prince Albert of Prussia	Frederick Henry Albert of Prussia
Prince Albert of Prussia	Friedrich Heinrich Albrecht of Prussia
Prince Albert of Prussia	Friedrich Heinrich Albrecht Prinz von Preußen
Prince Albert of Prussia	Prince Albrecht of Prussia
Prince Albert of Prussia	Prince Frederick Henry Albert of Prussia
John Howard	John Winston Howard
John Howard	The Honourable John Howard
Willy Spühler	Willy Spuehler
Marcellin Marbot	Baron de Marbot
Marcellin Marbot	Baron Marbot
Marcellin Marbot	General Marbot
Marcellin Marbot	Jean Baptiste Antoine Marcelin Marbot
Marcellin Marbot	Jean Baptiste Antoine Marcellin de Marbot
Marcellin Marbot	Jean Baptiste Antoine Marcellin Marbot
Marcellin Marbot	Jean-Baptiste Antoine Marcelin Marbot
Marcellin Marbot	Jean-Baptiste Antoine Marcellin de Marbot
Marcellin Marbot	Jean-Baptiste Antoine Marcellin Marbot
Marcellin Marbot	Jean-Baptiste Marbot
Marcellin Marbot	Marbot « Younger »
Marcellin Marbot	Marbot the Younger
Marcellin Marbot	Marcelin Marbot
Friedhelm Ortgies	Friedhelm Henry Ortgies
Rudolf Klement	Rudolf Alois Klement
Bill Graves	William Preston Graves
Anson Chan	Anson Maria Elizabeth Chan Fang On Sang
Anson Chan	Anson Maria Elizabeth Chan Fang On-sang
Anson Chan	Chen Fang Ansheng
Anson Chan	Dame Anson Chan
Anson Chan	Fang Ansheng
Beate Klarsfeld	Beate Auguste Klarsfeld
Beate Klarsfeld	Beate Kunzel
Tigran Sargsyan	Tigran Sureni Sargsyan
Eduard Müller	Eduard Mueller
Toni Brunner	Anton Brunner
Friedrich Karl Florian	Friedrich Florian
Eduard Brockhaus	Heinrich Eduard Brockhaus
Robert Vigouroux	Robert-Paul Vigouroux
Markus Söder	Marcus Söder
Ephraim Katzir	Efraim Katchalski
Ephraim Katzir	Efraim Katchalski-Katzir
François Fillon	Francois Fillon
Franz Joseph I of Austria	Emperor of Austria Francesco Giuseppe I
Franz Joseph I of Austria	Emperor of Austria Francis Joseph I
Franz Joseph I of Austria	Emperor of Austria François-Joseph I
Franz Joseph I of Austria	Emperor of Austria František Josef I
Franz Joseph I of Austria	Emperor of Austria Franz Josef I
Franz Joseph I of Austria	Emperor of Austria Franz Joseph I
Franz Joseph I of Austria	Francis Joseph I
Franz Joseph I of Austria	Franz Josef I
Franz Joseph I of Austria	Franz Joseph I
Franz Joseph I of Austria	imperatore d'Austria Franz Joseph I
Franz Joseph I of Austria	Kaiser Franz Joseph I. Österreich
Franz Joseph I of Austria	keizer van Oostenrijk Franz Joseph I
Franz Joseph I of Austria	King of Hungary Ferenc Jozsef I
Franz Joseph I of Austria	King of Hungary Ferenc József I
Karin Keller-Sutter	Karin Maria Sutter
Karin Keller-Sutter	Keller-Sutter
Gregor Gysi	Gregor Florian Gysi
Richard Attenborough	Baron Attenborough
Richard Attenborough	Richard Samuel Attenborough
Richard Attenborough	Richard Samuel Attenborough, Baron Attenborough
Richard Attenborough	The Lord Attenborough
Andreas Peter Bernstorff	Andreas Peter, Greve von Bernstorff
Elias Boudinot	Elias Boudinot IV
Elias Boudinot	Elias Boudinot Jr.
Joscelin I, Count of Edessa	Joscelin
Joscelin I, Count of Edessa	Joscelin I de Courtenay, Count of Edessa
Joscelin I, Count of Edessa	Joscelin I of Edessa
Andreas van Recum	Andre Honesta Pierre Van Recum
Andreas van Recum	André Honesta Pierre Van Recum
Pius Segmüller	Pius Segmueller
Renate Künast	Renate Elly Künast
Jacques Leroy de Saint Arnaud	Armand-Jacques Leroy de Saint-Arnaud
Charles I of Austria	Karl I
Charles I of Austria	Blessed Charles of Austria-Hungary
Charles I of Austria	Karl I and IV of Austria-Hungary
Charles I of Austria	Karl I of Austria
Alfred Hugenberg	Alfred Ernst Christian Alexander Hugenberg
Alfred Hugenberg	Alfred Wilhelm Franz Maria Hugenberg
Carl Wallau	Friedrich Carl Wallau
Horace François Bastien Sébastiani de La Porta	Horace Sebastiani
Horace François Bastien Sébastiani de La Porta	Horace Sébastiani
Bernhard Knipperdolling	Bernd Knipperdolling
Karin Keller-Sutter	Karin Keller
Bernhard Knipperdolling	Berndt Knipperdolling
Bernhard Knipperdolling	Bernhard Knipperdollinck
Bernhard Knipperdolling	Bernhard Knipperdollings
Jörg Vogelsänger	Jörg Willi Vogelsänger
Elisabeth Schwarzhaupt	Emma Sophie Elisabeth Schwarzhaupt
Johann Friedrich II. von Alvensleben	Ioannes Fridericus Alvensleben
Johann Friedrich II. von Alvensleben	Johann Friderich Alvensleben
Johann Friedrich II. von Alvensleben	Johann Fridrich Alvensleben
Johann Friedrich II. von Alvensleben	Johann Friederich Alvensleben
Johann Friedrich II. von Alvensleben	Johann Friedrich Alvensleben
Johann Friedrich II. von Alvensleben	Johann Friedrich von Alvensleben
Johann Friedrich II. von Alvensleben	Johannes Fridericus Alvensleben
Johann Friedrich II. von Alvensleben	v Alvensleben
Heinrich von Gagern	Heinrich Wilhelm August Freiherr von Gagern
Palpatine	Chancellor Palpatine
Palpatine	Emperor Palpatine
Palpatine	Sheev Palpatine
Dietrich Bahner junior	Dietrich Bahner
Baldwin I of Jerusalem	Baldwin I de Boulogne, King of Jerusalem
Baldwin I of Jerusalem	Baudouin de Boulogne
Padmé Amidala	Padme Amidala
Padmé Amidala	Padme Naberrie
Padmé Amidala	Padmé Naberrie
Padmé Amidala	Queen Amidala
Padmé Amidala	Senator Amidala
Ludwig Pernice	Ludwig Wilhelm Anton Pernice
Sheikh Hasina	Hasina Wazed
Sheikh Hasina	Sheikh Hasina Wazed
Princess Antoinette of Saxe-Altenburg	Antoinette von Sachsen-Altenburg
Kuno von Klebelsberg	Count Kuno von Klebelsberg de Thumburg
Karl Genzken	Karl August Genzken
Karl Genzken	Karl Eduard A. H. Genzken
Karl Genzken	Karl Geruken
Paul Bronsart von Schellendorff	Paul Leopold Eduard Heinrich Anton Bronsart von Schellendorf
Hans Conrad Escher von der Linth	Hans Konrad Escher von der Linth
Konrad H. Christ	Christ
Kim Yong-nam	Kim Yeong-nam
Konrad H. Christ	Hermann Christ
Konrad H. Christ	Hermann Christ-Socin
Konrad H. Christ	Konrad Christ
Konrad H. Christ	Konrad Hermann Christ
Konrad H. Christ	Konrad Hermann Heinrich Christ
Aminatou Haidar	Aminatou Ali Ahmed Haidar
Edmund Stengel	Edmund Max Stengel
Melchiorre Gioia	Cajetan Gioja
Melchiorre Gioia	Melchiorre Gioja
Baldwin I of Jerusalem	Baldwin de Boulogne
Baldwin I of Jerusalem	Baldwin I
Palpatine	Darth Sidious
Karl Schiller	Karl August Fritz Schiller
Palpatine	The Senate
Baldwin II of Jerusalem	Baldwin II
Friedrich von Vittinghoff	Friedrich August Max Anton Hubert Baron von Vittinghof gennant Schell zu Schellenburg
Gustav I of Sweden	Gustavus Vasa
Gustav I of Sweden	Gustav Vasa
Gustav I of Sweden	Gustav Eriksson
Charles XIV John of Sweden	Jean Baptiste Jules Bernadotte
Gustav III of Sweden	Gustavus III
Gustav III of Sweden	King of Sweden Gustaf III
Gustav III of Sweden	King of Sweden Gustav III
Gustav III of Sweden	King of Sweden Gustave III
Gustav III of Sweden	King of Sweden Gustavo III
Gustav III of Sweden	King of Sweden Gustavus III
Gustav III of Sweden	König Gustav III. Schweden
Gustav III of Sweden	koning van Zweden Gustav III
Gustav III of Sweden	re di Svezia Gustaf III
Gustav III of Sweden	Rey de Suecia Gustavo III
Gustav III of Sweden	roi de Suede Gustave III
Gustav III of Sweden	roi de Suède Gustave III
Hōdō Nakamura	Hodo Nakamura
Hōdō Nakamura	Houdou Nakamura
Pierre de Ruel, marquis de Beurnonville	Marquis de Beurnonville Pierre de Riel
Pierre de Ruel, marquis de Beurnonville	Pierre de Riel, marquis de Beurnonville
Pierre de Ruel, marquis de Beurnonville	Pierre Riel, marquis de Beurnonville
Carl Bildt	Nils Daniel Carl Bildt
Richard Hildebrandt	Richard Hermann Hildebrandt
Achille Baraguey d'Hilliers	Louis-Achille Baraguey d'Hilliers Baraguay-d'Hilliers
Joseph von Radowitz	Joseph Maria Ernst Christian Wilhelm von Radowitz
Charles XIV John of Sweden	Charles Jean, Prince of Ponte Corvo
Charles XIV John of Sweden	Jean Baptiste Bernadotte
Charles XIV John of Sweden	Jean-Baptiste Bernadotte
Charles XIV John of Sweden	Jean-Baptiste Jules Bernadotte
Charles XIV John of Sweden	John Baptiste Julius Bernadotte
Charles XIV John of Sweden	King of Norway Charles III John
Charles XIV John of Sweden	King of Sweden and Norway Carl XIV Johan
Charles XIV John of Sweden	King of Sweden and Norway Carolus Joannes
Charles XIV John of Sweden	King of Sweden and Norway Charles XIV John
Charles XIV John of Sweden	King of Sweden and Norway Jean-Baptiste Jules Bernadotte
Charles XIV John of Sweden	King of Sweden and Norway Karl XIV
Charles XIV John of Sweden	King of Sweden and Norway Karl XIV Johan
Charles XIV John of Sweden	King of Sweden Charles XIV John
Charles XIV John of Sweden	Prince of Ponte Corvo Charles Jean
Leia Organa	General Organa
Leia Organa	Leia Organa Solo
Leia Organa	Princess Leia
Leia Organa	Princess Leia Organa
Leia Organa	Princess Leia Organa of Alderaan
Heinrich von Sybel	Heinrich Karl Ludolf von Sybel
Alexey Stakhanov	Alexei Stakanov
Alexey Stakhanov	Alexei Stakhanov
Alexey Stakhanov	Alexey Grigoryevich Stakhanov
Gustav I of Sweden	Gustavus Ericssen
Gustav I of Sweden	Gustavus I Ericssen
Gustav I of Sweden	Gustavus I Vasa
Lasse Virén	Lasse Artturi Viren
Lasse Virén	Lasse Artturi Virén
Lasse Virén	Lasse Viren
Hartvig Nissen	Ole Hartvig Nissen
Gustav III of Sweden	Gustav III
Heinz Brücher	Brücher
Heinz Brücher	Bruecher
Heinz Brücher	Enrique Bruecher
Heinz Brücher	H. Brücher
Heinz Brücher	H. Bruecher
Edmond Le Bœuf	Edmond Leboeuf
Bob Mathias	Robert Bruce Mathias
Hans Apel	Hans Eberhard Apel
Bernd Richter	"Bernhard ""Bernd"" Richter"
Jürgen Möllemann	Jurgen Mollemann
Jürgen Möllemann	Jürgen Wilhelm Möllemann
Veronika Bellmann	Veronika Maria Bellmann
Veronika Bellmann	Veronika Maria Wächter
Veronika Bellmann	Veronika Wächter
Heidrun Bluhm	Heidrun Bluhm-Förster
Hans Matthöfer	Hans Hermann Matthöfer
Wilhelm Keppler	Wilhelm Karl Keppler
Fredrik Reinfeldt	John Fredrik Reinfeldt
Peter Deeg	Hans Peter Deeg
Astrid Grotelüschen	Astrid Katharina Josefine Grotelüschen
Thabo Mbeki	Thabo Mvuyelwa Mbeki
Alberto Juantorena	Alberto Juantorena Danger
Rodrigo Lara	Rodrigo Lara Bonilla
Johannes von Müller	Johannes Müller
Hans Hartwig von Beseler	Hans Hartwig Beseler
Johannes von Müller	Edler von Müller zu Sylvelden
Johannes von Müller	Johannes von Mueller
Hjalmar Hammarskjöld	Knut Hjalmar Leonard Hammarskjöld
Johann Philipp von Schönborn	John Philip of Schönborn
Theodor Blank	Theodor Anton Blank
August Ubbelohde	August Philipp Wilhelm Georg Hermann Friedrich Ubbelohde
Ferdinand Maximilian, Hereditary Prince of Baden-Baden	Ferdinand Maximilian of Baden-Baden
Johanna Grund	Johanna Christina Grund
Werner Luginbühl	Werner Luginbuehl
Léon David	Leon David
Hugo von Bosch	Hugo Bosch
Franco Zeffirelli	Gian Franco Corsi Zeffirelli
Franco Zeffirelli	Gianfranco Corsi
Hugo von Bosch	Hugo Ritter von Bosch
Sylvi Saimo	Sylvi Riitta Saimo
Johan Ramstedt	Johan Olof Ramstedt
Carl Swartz	Carl Johan Gustaf Swartz
Fredrik von Otter	Fredrik Wilhelm von Otter
Robert Themptander	Oscar Robert Themptander
Pascale Bruderer	Pascale Bruderer Wyss
Andreas Gaill	Andreas Gail
Andreas Gaill	Andreas von Gail
Andreas Gaill	Andreas von Gayl
Robert Guérin	Robert Guerin
Hedi Lang	Hedi Lang-Gehri
Kichisaburō Nomura	Kichisaburo Nomura
Kichisaburō Nomura	Kichisaburou Nomura
Yossi Peled	Josi Peled
Yossi Peled	Jossi Peled
Mieszko I	Dagome
Väinö Tanner	Väinö Alfred Tanner
Väinö Tanner	Väinö Alfred Thomasson
Väinö Tanner	Väinö Thomasson
Hermann Dietrich	Hermann Robert Dietrich
Bolesław I the Brave	Boleslaus
Christian Lüscher	Christian Luescher
Bolesław I the Brave	Boleslaus I
Karl Staaff	Karl Albert Staaff
Johann Caspar Bluntschli	Johann Caspar
Johann Caspar Bluntschli	Johann Kaspar Bluntschli
Matthäus Schiner	Matthaeus Schiner
Rémi Joseph Isidore Exelmans	Remi Joseph Isidore Exelmans
Rémi Joseph Isidore Exelmans	Remy Joseph Isodore, Comte Exelmans
Albert E. Austin	Albert Elmer Austin
Otto von Schlieben	Hans August Otto von Schlieben
Frédéric-César de La Harpe	Frédéric César de La Harpe
Frédéric-César de La Harpe	Frederic-Cesar de La Harpe
Friederike Nadig	Frieda Nadig
Friedrich Ludwig Keller	Friedrich Ludwig von Keller
Walter Krämer	Walter Kraemer
Francisco Morales Bermúdez	Francisco Morales Bermudez
Rachel Dübendorfer	Rachel Duebendorfer
Nils Edén	Nils Eden
Rudolf Stüssi	Rudolf Stuessi
Armin Mohler	Scribifax
Maurice Mességué	Maurice Messegue
Maurice Mességué	Maurice Messegué
John III Sobieski	Jan III Sobieski
John III Sobieski	King of Poland Jan III
John III Sobieski	King of Poland John III
John III Sobieski	King of Poland John III Sobieski
John III Sobieski	King of Poland John Sobieski
John III Sobieski	król Polski Jan III Sobieski
John III Sobieski	roi de Pologne Jean III
Carl von Horn	Carl von Horn (1847–1923)
Carl von Horn	von Horn
Ulrich Schlüer	Ulrich Schlueer
William B. Campbell	William Bowen Campbell
Casimir I the Restorer	Casimiro I el Renovador
Casimir I the Restorer	Kazimierz I Odnowiciel
Casimir III the Great	Kazimierz Wielki
Joachim von Ribbentrop	Ullrich Friedrich Willy Joachim Ribbentrop
Joachim von Ribbentrop	Ullrich Friedrich Willy Joachim von Ribbentrop
Casimir III the Great	Casimirus III Magnus
Casimir III the Great	Kazimierz III Wielki
Hans Benno Bernoulli	Hans Bernoulli
Orli Wald	Angel of Auschwitz
Orli Wald	Aurelia Torgau
Orli Wald	Orli Reichert
Orli Wald	Orli Reichert Wald
Orli Wald	Orly Reichert
Dwight Filley Davis Sr.	Dwight Davis
Dwight Filley Davis Sr.	Dwight F. Davis
Dwight Filley Davis Sr.	Dwight Filley Davis
Dwight Filley Davis Sr.	Hon. Dwight Filley Davis
